"Bot Name:","TravelGenie"
"Report name:","bookFlightTestCase"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Notes:",""
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","2","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","04-20-2025 10:26:09 PM"
"Utterance count:","33"
"Percentage breakdown:","100.00% True Positive","0.00% True Negative","0.00% False Positive","0.00% False Negative"
"Success / Failure Ratio:","100.00"
"F1 Score:","1.00"
"Precision:","1.00"
"Recall:","1.00"
"Total Entities Count:","0"
"Matched Entities Count:","0"
"Entities Success / Failure Ration:","0.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"I want to book a flight to Bangalore","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 100; FM: 10951.27; RR: 100","ML: 100; FM: 10951.27; RR: 100"
"I need to reserve a flight for my vacation","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 0.678; FM: 10951.27; RR: 10951.27","ML: 0.678; FM: 10951.27; RR: 10951.27"
"Show me my upcoming flight details","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I want to review my flight booking information","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Give me the details of my upcoming reservations","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 0.71; RR: 71","ML: 0.71; RR: 71"
"Help me check my booked flight status","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Show me the booking information for my last trip","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Do I have any flights booked currently?","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you show my current booking details?","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Help me book a business class seat for next week","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 0.614; RR: 61.4","ML: 0.614; RR: 61.4"
"Schedule a flight from Pune to Delhi","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 0.683; FM: 11576.67; RR: 11576.67","ML: 0.683; FM: 11576.67; RR: 11576.67"
"What�s the status of my upcoming flight?","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 96; RR: 9600","ML: 96; RR: 9600"
"I want to check my flight status and booking","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can I view the details of my booked ticket?","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you help me book a flight ticket?","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 99; FM: 10593.33; RR: 9900","ML: 99; FM: 10593.33; RR: 9900"
"Can I view the details of my booked ticket?","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Show my confirmed flight ticket details","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Show me my upcoming flight details","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I�d like to see my flight details for this weekend","Fetch Booking Details","fetch booking details","None","configured","TP","","","","","","mobileNumber","","","","ML: 98; RR: 9800","ML: 98; RR: 9800"
"Help me book a flight from Delhi to Goa","Book Flight","book flight","None","configured","TP","","","","","","contactNumber","","","","ML: 100; FM: 10926.67; RR: 100","ML: 100; FM: 10926.67; RR: 100"
